ward,year,item,category,location,cost
2,2012,Sidewalk Menu,Sidewalk Repair,ON N CALIFORNIA AVE FROM W WASHINGTON BV (100 N) TO W LAKE ST (200 N),215
2,2012,Sidewalk Menu,Sidewalk Repair,ON S JEFFERSON ST FROM W TILDEN ST (426 S) TO W VAN BUREN ST (400 S),19182
2,2012,Street Resurfacing Menu,Street Resurfacing,ON S LAFLIN ST FROM W POLK ST (800 S) TO W FILLMORE,107489
2,2012,Street Resurfacing Menu,Street Resurfacing,ON W POLK ST FROM S FRANCISCO AV (2900 W) TO S CALIFORNIA AV (2800 W),66167
2,2012,Street Resurfacing Menu,Street Resurfacing,ON S SANGAMON ST FROM W JACKSON BV (300 S) TO Dead End (414 S),135686
2,2012,Street Resurfacing Menu,Street Resurfacing,ON S THROOP ST FROM W WASHBURNE AV (1225 S) TO W ROOSEVELT RD (1200 S),35504
2,2012,Street Resurfacing Menu,Street Resurfacing,ON S THROOP ST FROM W TAYLOR ST (1000 S) TO W ROOSEVELT RD (1200 S),108718
2,2012,Floodlight Menu,Lighting,ON LAKE FROM N ALBANY AV (3100 W) TO N SACRAMENTO BV (3000 W),5500
2,2012,Left-Turn Arrow Menu,Street Redesign,S CLARK ST & W HARRISON ST,11500
2,2012,Street Light Piggy Back,Lighting,ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S GILES AV (300 E),5400
2,2012,Street Light Piggy Back,Lighting,ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E),8100
2,2012,Street Light Pole Painting,Lighting,ON GREEN FROM W ADAMS ST (200 S) TO W VAN BUREN ST (400 S),1500
2,2012,Street Light Pole Painting,Lighting,ON ROOSEVELT FROM S LOOMIS ST (1400 W) TO S ASHLAND AV (1600 W),6600
2,2012,Street Light Pole Painting,Lighting,ON VAN BUREN FROM S FRANKLIN ST (300 W) TO S WACKER (UW) DR(320 W),2400
2,2012,Street Light Pole Painting,Lighting,ON S HOYNE AVE FROM W CONGRESS PW (500 S) TO W HARRISON ST (600 S),1800
2,2012,Street Light Pole Painting,Lighting,ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV (2000 W),5000
2,2012,Street Light Pole Painting,Lighting,ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD (1200 S),12000
2,2012,Street Light Pole Painting,Lighting,ON HERMITAGE FROM W TAYLOR ST (1000 S) TO W ROOSEVELT RD (1200 S),2400
2,2012,Street Light Pole Painting,Lighting,ON MICHIGAN FROM E ROOSEVELT RD (1200 S) TO E HARRISON ST (600 S),18500
